"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|CZ","Without Sequence","56.99","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|CZ","Without Sequence","55.99","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|CZ","Without Sequence","56.02","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|CZ","Without Sequence","62.14","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|CZ","Without Sequence","70.55","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|CZ","Without Sequence","77.63","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|CZ","Without Sequence","84.23","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|CZ","Without Sequence","85.17","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|CZ","Without Sequence","81.94","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|CZ","Without Sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|CZ","Without Sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|CZ","Without Sequence","65.00","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|CZ","Without Sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|CZ","Without Sequence","57.30","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|CZ","Without Sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|CZ","Without Sequence","40.00","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|CZ","Without Sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|CZ","Without Sequence","35.00","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|CZ","Without Sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|CZ","Without Sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|CZ","Without Sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|CZ","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|CZ","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|CZ","Without Sequence","91.83","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|CZ","Without Sequence","90.27","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|CZ","Without Sequence","86.50","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|CZ","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|CZ","Without Sequence","92.11","",""
